Index;Date;Time;Cardio1;Saturation1;Cardio2;Saturation2;Cardio3;Saturation3;Acceleration g;Acceleration a
168;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
169;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
170;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
171;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
172;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
173;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
174;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
175;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
176;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
177;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
178;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
179;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
180;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
181;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
182;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
183;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
184;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.85
185;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;0.08;1.83
186;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.83
187;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
188;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
189;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
190;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
191;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
192;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
193;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
194;5/1/2023;6:0:4;0.00;0;0.00;0;0.00;0;3.66;1.84
195;5/1/2023;6:0:0;0.00;0;0.00;0;0.00;0;3.66;1.84
196;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
197;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
198;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
199;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
200;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
201;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
202;5/1/2023;6:0:20;0.00;0;0.00;0;0.00;0;3.66;1.84
203;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
204;5/1/2023;6:0:24;0.00;0;0.00;0;0.00;0;3.66;1.84
