Index;Date;Time;Temperature(°C);Cardio(BPM);Saturation(%SpO2);Audio(%max);Rotation(rad/s);Acceleration(m/s2)
190;07/03/2023;13:29:37;28.88;0.00;0;99.00;0.07;10.09
191;07/03/2023;13:29:39;28.90;0.00;0;99.00;0.06;10.07
192;07/03/2023;13:29:41;28.89;0.00;0;99.00;0.07;10.08
193;07/03/2023;13:29:43;28.90;0.00;0;99.00;0.07;10.08
194;07/03/2023;13:29:45;28.89;0.00;0;99.00;0.07;10.07
195;07/03/2023;13:29:47;28.90;0.00;0;99.00;0.07;10.07
196;07/03/2023;13:29:49;28.92;0.00;0;99.00;0.07;10.07
197;07/03/2023;13:29:51;28.92;0.00;0;99.00;0.07;10.08
198;07/03/2023;13:29:53;28.92;0.00;0;99.00;0.07;10.06
199;07/03/2023;13:29:55;28.92;0.00;0;99.00;0.07;10.08
200;07/03/2023;13:29:57;28.93;0.00;0;99.00;0.07;10.07
201;07/03/2023;13:29:59;28.92;0.00;0;99.00;0.07;10.09
202;07/03/2023;13:30:01;28.92;0.00;0;99.00;0.07;10.06
203;07/03/2023;13:30:03;28.93;0.00;0;99.00;0.07;10.09
204;07/03/2023;13:30:05;28.94;0.00;0;99.00;0.06;10.07
205;07/03/2023;13:30:07;28.95;0.00;0;99.00;0.07;10.06
206;07/03/2023;13:30:09;28.94;0.00;0;99.00;0.07;10.06
207;07/03/2023;13:30:11;28.95;0.00;0;99.00;0.07;10.08
208;07/03/2023;13:30:13;28.96;0.00;0;99.00;0.07;10.07
209;07/03/2023;13:30:15;28.94;0.00;0;99.00;0.07;10.10
210;07/03/2023;13:30:17;28.94;0.00;0;99.00;0.07;10.07
211;07/03/2023;13:30:19;28.95;0.00;0;99.00;0.07;10.08
212;07/03/2023;13:30:21;28.94;0.00;0;99.00;0.06;10.09
213;07/03/2023;13:30:23;28.94;0.00;0;99.00;0.07;10.09
214;07/03/2023;13:30:25;28.93;0.00;0;99.00;0.07;10.08
215;07/03/2023;13:30:27;28.95;0.00;0;99.00;0.07;10.06
216;07/03/2023;13:30:29;28.94;0.00;0;99.00;0.07;10.08
217;07/03/2023;13:30:31;28.95;0.00;0;99.00;0.06;10.05
218;07/03/2023;13:30:33;28.95;0.00;0;99.00;0.07;10.08
219;07/03/2023;13:30:35;28.96;0.00;0;99.00;0.07;10.07
220;07/03/2023;13:30:37;28.97;0.00;0;99.00;0.07;10.07
221;07/03/2023;13:30:39;28.96;0.00;0;99.00;0.07;10.07
222;07/03/2023;13:30:41;28.98;0.00;0;99.00;0.07;10.08
223;07/03/2023;13:30:43;28.95;0.00;0;99.00;0.07;10.08
224;07/03/2023;13:30:45;28.97;0.00;0;99.00;0.07;10.08
225;07/03/2023;13:30:47;28.98;0.00;0;99.00;0.06;10.08
226;07/03/2023;13:30:49;28.99;0.00;0;99.00;0.06;10.08
227;07/03/2023;13:30:51;28.99;0.00;0;99.00;0.07;10.07
228;07/03/2023;13:30:53;28.98;0.00;0;99.00;0.06;10.06
229;07/03/2023;13:30:55;28.99;0.00;0;99.00;0.07;10.07
230;07/03/2023;13:30:57;29.00;0.00;0;99.00;0.06;10.07
231;07/03/2023;13:30:59;28.98;0.00;0;99.00;0.07;10.07
232;07/03/2023;13:31:01;28.99;0.00;0;99.00;0.07;10.07
233;07/03/2023;13:31:04;28.99;0.00;0;99.00;0.07;10.07
234;07/03/2023;13:31:06;29.00;0.00;0;99.00;0.07;10.08
235;07/03/2023;13:31:08;28.98;0.00;0;99.00;0.07;10.07
236;07/03/2023;13:31:10;28.99;0.00;0;99.00;0.07;10.07
237;07/03/2023;13:31:12;29.01;0.00;0;99.00;0.06;10.07
238;07/03/2023;13:31:14;29.02;0.00;0;99.00;0.07;10.04
239;07/03/2023;13:31:16;29.00;0.00;0;99.00;0.06;10.08
240;07/03/2023;13:31:18;29.02;0.00;0;99.00;0.07;10.08
241;07/03/2023;13:31:20;29.01;0.00;0;99.00;0.07;10.07
242;07/03/2023;13:31:22;29.02;0.00;0;99.00;0.07;10.09
243;07/03/2023;13:31:24;29.02;0.00;0;99.00;0.07;10.07
244;07/03/2023;13:31:26;29.02;0.00;0;99.00;0.07;10.09
245;07/03/2023;13:31:28;29.02;0.00;0;99.00;0.07;10.07
246;07/03/2023;13:31:30;29.01;0.00;0;99.00;0.07;10.08
247;07/03/2023;13:31:32;29.02;0.00;0;99.00;0.07;10.08
248;07/03/2023;13:31:34;29.03;0.00;0;99.00;0.07;10.07
249;07/03/2023;13:31:36;29.02;0.00;0;99.00;0.07;10.09
250;07/03/2023;13:31:38;29.02;0.00;0;99.00;0.07;10.07
251;07/03/2023;13:31:40;29.04;0.00;0;99.00;0.07;10.08
252;07/03/2023;13:31:42;29.04;0.00;0;99.00;0.06;10.08
253;07/03/2023;13:31:44;29.02;0.00;0;99.00;0.06;10.07
254;07/03/2023;13:31:46;29.04;0.00;0;99.00;0.07;10.08
255;07/03/2023;13:31:48;29.06;0.00;0;99.00;0.07;10.08
256;07/03/2023;13:31:50;29.04;0.00;0;99.00;0.07;10.06
257;07/03/2023;13:31:52;29.05;0.00;0;99.00;0.07;10.06
258;07/03/2023;13:31:54;29.06;0.00;0;99.00;0.07;10.07
259;07/03/2023;13:31:56;29.04;0.00;0;99.00;0.07;10.08
260;07/03/2023;13:31:58;29.07;0.00;0;99.00;0.06;10.08
261;07/03/2023;13:32:00;29.05;0.00;0;99.00;0.06;10.08
262;07/03/2023;13:32:02;29.06;0.00;0;99.00;0.07;10.08
263;07/03/2023;13:32:04;29.06;0.00;0;99.00;0.07;10.08
264;07/03/2023;13:32:06;29.06;0.00;0;99.00;0.07;10.08
265;07/03/2023;13:32:08;29.07;0.00;0;99.00;0.07;10.08
266;07/03/2023;13:32:10;29.06;0.00;0;99.00;0.07;10.07
267;07/03/2023;13:32:12;29.08;0.00;0;99.00;0.07;10.09
268;07/03/2023;13:32:14;29.09;0.00;0;99.00;0.07;10.08
269;07/03/2023;13:32:16;29.07;0.00;0;99.00;0.07;10.07
270;07/03/2023;13:32:18;29.08;0.00;0;99.00;0.07;10.06
271;07/03/2023;13:32:20;29.09;0.00;0;99.00;0.06;10.09
272;07/03/2023;13:32:22;29.10;0.00;0;99.00;0.07;10.06
273;07/03/2023;13:32:24;29.10;0.00;0;99.00;0.07;10.10
274;07/03/2023;13:32:26;29.07;0.00;0;99.00;0.06;10.08
275;07/03/2023;13:32:28;29.08;0.00;0;99.00;0.06;10.06
276;07/03/2023;13:32:30;29.09;0.19;0;99.00;0.07;10.07
277;07/03/2023;13:32:32;29.08;0.00;0;99.00;0.06;10.06
278;07/03/2023;13:32:34;29.07;0.00;0;99.00;0.07;10.07
